fecha	rondas	tirosRonda	cuantil	tirosFinal	tiros_total	tasa_eleccion_correcta	ganancia
20220522 140621	49	5	0.156076058183424	192	-1	0	0
20220522 140637	6	129	0.275392436509213	493	46505	0.9962	0.686166666666667
20220522 140721	11	113	0.130259108029561	607	77638	0.9992	0.481613333333333
20220522 140805	1	81	0.83052463203539	655	19235	0.9472	0.818966666666667
20220522 140826	2	92	0.734840328957969	541	15471	0.9536	0.85046
20220522 140838	7	68	0.7816973948619	715	-1	0	0
20220522 140846	16	121	0.796512413919263	175	-1	0	0
20220522 140953	33	21	0.184210991501782	814	-1	0	0
20220522 141047	25	41	0.88621726610874	323	-1	0	0
20220522 141056	11	60	0.888510232225183	414	-1	0	0
20220522 141101	2	92	0.677171449918322	341	15895	0.9572	0.851233333333333
20220522 141129	3	148	0.225328221703942	253	46313	0.9438	0.635046666666667
20220522 141148	5	103	0.406236937866286	802	28995	0.984	0.7907
20220522 141310	27	13	0.730426759305775	699	-1	0	0
20220522 141322	2	101	0.805764593369069	288	13272	0.9174	0.9174
20220522 141637	14	195	0.242280296484758	62	76892	0	-0.512613333333333
20220522 141645	31	78	0.197163283479857	88	-1	0	0
20220522 141702	39	42	0.145781420792393	99	-1	0	0
20220522 141901	5	167	0.839774198707434	68	-1	0	0
20220522 141912	3	137	0.408791212548544	403	35041	0.9948	0.761193333333333
20220522 141949	11	26	0.384959622415994	150	-1	0	0
20220522 142139	14	86	0.152058487584673	839	55732	0.9872	0.615653333333333
20220522 142143	16	32	0.134463743220935	259	21426	0.7422	0.59936
20220522 142319	39	62	0.873583872646058	269	-1	0	0
20220522 142324	2	158	0.680475724183046	489	25746	0.995	0.82336
20220522 142341	5	131	0.846428242120769	559	-1	0	0
20220522 142343	8	24	0.556904835501637	644	-1	0	0
20220522 142648	17	78	0.106881677417652	298	62260	0.982	0.566933333333333
20220522 142812	2	86	0.717528473447239	364	13920	0.9424	0.9424
20220522 142817	2	134	0.627309435286782	315	22768	0.9836	0.831813333333333
20220522 142821	2	112	0.416020457518614	437	32554	0.9934	0.776373333333333
20220522 142913	16	65	0.47358411905008	551	-1	0	0
20220522 142923	47	19	0.27209315779027	122	-1	0	0
20220522 143038	1	112	0.813985322993859	415	19085	0.977	0.849766666666667
20220522 143122	12	38	0.64656068012673	751	-1	0	0
20220522 143222	40	29	0.35586223197322	628	-1	0	0
20220522 143238	14	69	0.425212812763142	961	-1	0	0
20220522 143321	19	20	0.203653816411969	775	-1	0	0
20220522 143436	1	5	0.100103771616468	51	5090	0.3178	0.3178
20220522 143543	14	116	0.73340046794156	876	-1	0	0
20220522 143655	9	27	0.224168168268301	775	16568	0.7714	0.660946666666667
20220522 143733	15	133	0.304971188367628	870	-1	0	0
20220522 143758	24	66	0.229355499003349	619	-1	0	0
20220522 143944	1	85	0.729139611605929	540	23080	0.9816	0.827733333333333
20220522 143948	1	145	0.572428209625797	348	29464	0.9834	0.786973333333333
20220522 144002	2	105	0.806948297547249	371	14084	0.932	0.932
20220522 144029	6	119	0.76204814001477	936	-1	0	0
20220522 144046	4	76	0.402469137678912	965	28072	0.9756	0.788453333333333
20220522 144144	50	5	0.821652979602412	50	-1	0	0
20220522 144156	50	41	0.899849370577011	1000	-1	0	0
20220522 144159	1	135	0.735529440520428	436	25272	0.9958	0.82732
20220522 144211	2	100	0.561092791221338	670	27130	0.993	0.812133333333333
20220522 144229	14	144	0.667517065011605	149	-1	0	0
