timestamp, cp, minsplit, minbucket, maxdepth, ganancia_promedio
2022-05-15 01:56:32, -0.1, 3000, 120, 5, 9965333.33333333
2022-05-15 01:56:45, -0.1, 3000, 120, 6, 9864666.66666667
2022-05-15 01:56:59, -0.1, 3000, 120, 7, 9763333.33333333
2022-05-15 01:57:15, -0.1, 3000, 120, 8, 9674000
2022-05-15 01:57:31, -0.1, 3000, 120, 9, 9701333.33333333
2022-05-15 01:57:47, -0.1, 3000, 120, 10, 9701333.33333333
2022-05-15 01:57:56, -0.1, 3000, 100, 3, 9323333.33333333
2022-05-15 01:58:06, -0.1, 3000, 100, 4, 9710000
2022-05-15 01:58:18, -0.1, 3000, 100, 5, 9882666.66666667
2022-05-15 01:58:31, -0.1, 3000, 100, 6, 9712000
2022-05-15 01:58:46, -0.1, 3000, 100, 7, 9574000
2022-05-15 01:59:02, -0.1, 3000, 100, 8, 9400666.66666667
2022-05-15 01:59:18, -0.1, 3000, 100, 9, 9396666.66666667
2022-05-15 01:59:34, -0.1, 3000, 100, 10, 9396666.66666667
2022-05-15 01:59:42, -0.1, 3000, 80, 3, 9323333.33333333
2022-05-15 01:59:52, -0.1, 3000, 80, 4, 9721333.33333333
2022-05-15 02:00:03, -0.1, 3000, 80, 5, 9902000
2022-05-15 02:00:15, -0.1, 3000, 80, 6, 9676666.66666667
2022-05-15 02:00:28, -0.1, 3000, 80, 7, 9444666.66666667
2022-05-15 02:00:46, -0.1, 3000, 80, 8, 9364666.66666667
2022-05-15 02:01:04, -0.1, 3000, 80, 9, 9266666.66666667
2022-05-15 02:01:25, -0.1, 3000, 80, 10, 9266666.66666667
2022-05-15 02:01:35, -0.1, 3000, 50, 3, 9323333.33333333
2022-05-15 02:01:46, -0.1, 3000, 50, 4, 9680666.66666667
2022-05-15 02:01:58, -0.1, 3000, 50, 5, 9614666.66666667
2022-05-15 02:02:11, -0.1, 3000, 50, 6, 9560000
2022-05-15 02:02:24, -0.1, 3000, 50, 7, 9366000
2022-05-15 02:02:38, -0.1, 3000, 50, 8, 9146666.66666667
2022-05-15 02:02:55, -0.1, 3000, 50, 9, 9102000
2022-05-15 02:03:14, -0.1, 3000, 50, 10, 9070666.66666667
2022-05-15 02:03:25, -0.1, 3000, 10, 3, 9196666.66666667
2022-05-15 02:03:37, -0.1, 3000, 10, 4, 9650000
2022-05-15 02:03:49, -0.1, 3000, 10, 5, 9874000
2022-05-15 02:04:02, -0.1, 3000, 10, 6, 9899333.33333333
2022-05-15 02:04:17, -0.1, 3000, 10, 7, 9775333.33333333
2022-05-15 02:04:32, -0.1, 3000, 10, 8, 9593333.33333333
2022-05-15 02:04:48, -0.1, 3000, 10, 9, 9446000
2022-05-15 02:05:06, -0.1, 3000, 10, 10, 9383333.33333333
2022-05-15 02:05:15, -0.1, 2000, 700, 3, 9472666.66666667
2022-05-15 02:05:25, -0.1, 2000, 700, 4, 9748000
2022-05-15 02:05:37, -0.1, 2000, 700, 5, 10454666.6666667
2022-05-15 02:05:51, -0.1, 2000, 700, 6, 10477333.3333333
2022-05-15 02:06:06, -0.1, 2000, 700, 7, 10477333.3333333
2022-05-15 02:06:22, -0.1, 2000, 700, 8, 10477333.3333333
2022-05-15 02:06:36, -0.1, 2000, 700, 9, 10477333.3333333
2022-05-15 02:06:50, -0.1, 2000, 700, 10, 10477333.3333333
2022-05-15 02:06:58, -0.1, 2000, 500, 3, 9472666.66666667
2022-05-15 02:07:06, -0.1, 2000, 500, 4, 9822000
2022-05-15 02:07:15, -0.1, 2000, 500, 5, 10498000
2022-05-15 02:07:25, -0.1, 2000, 500, 6, 10336000
2022-05-15 02:07:37, -0.1, 2000, 500, 7, 10336000
2022-05-15 02:07:49, -0.1, 2000, 500, 8, 10336000
2022-05-15 02:08:02, -0.1, 2000, 500, 9, 10336000
2022-05-15 02:08:15, -0.1, 2000, 500, 10, 10336000
2022-05-15 02:08:22, -0.1, 2000, 200, 3, 9321333.33333333
2022-05-15 02:08:30, -0.1, 2000, 200, 4, 9767333.33333333
2022-05-15 02:08:39, -0.1, 2000, 200, 5, 10316000
2022-05-15 02:08:50, -0.1, 2000, 200, 6, 9804666.66666667
